hhid,province,district,subdistrict,village,ea,pmt,community,hybrid,elite,poorest10,daymeeting,treated,rank,consumption,consumption_ae,food,nonfood,nonstaple,diversity,pcfloor,tfloor,twall,toilet,water,lighting,troof,fcook,house,credit,hhsize,hhsize2,hhsize_ae,hhage,hhage2,hhmale,hhmarried,hhmalemarr,hhsector1,hhsector2,hhsector3,formal,informal,hheduc2,hheduc3,hheduc4,age04,eschild,jschild,sschild,higheduc2,higheduc3,higheduc4,depratio,ac,computer,radio,tv,dvd,satellite,gas,refrigerator,bicycle,motorcycle,auto,hp,jewelry,chicken,cow
"470948",73,11,148,31,470,0,0,1,0,0,1,0,.8529412,234.8167,298.9334,26.1,.8888494,.6168582,9,24,1,1,0,1,0,0,0,1,0,5,25,3.927575,60,3600,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"471136",73,11,148,131,471,0,1,0,0,0,1,0,.6969697,665.5774,819.4219,80.625,.8788646,.8108527,9,24,1,0,1,0,1,0,1,1,0,4,16,3.24901,82,6724,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,.3333333,0,0,1,1,1,0,1,0,0,1,0,1,1,1,1
"471231",73,11,148,131,471,0,1,0,0,0,1,0,,294.2205,373.3651,28.75,.9022842,.6434783,8,7.5,1,1,0,0,0,0,1,0,0,4,16,3.152094,31,961,1,1,1,0,0,1,0,1,0,0,1,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"471289",73,11,148,131,471,0,1,0,0,0,1,0,.5454546,333.2173,416.4413,40.9375,.8771447,.7755725,8,31.25,1,0,0,1,1,0,0,1,0,4,16,3.200617,60,3600,1,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,.3333333,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1
"471357",73,11,148,131,471,0,1,0,0,0,1,0,.4242424,286.1565,389.7859,32.42857,.8866754,.6674009,8,8.571428,1,0,0,1,1,0,0,1,0,7,49,5.138963,47,2209,1,1,1,0,0,1,1,0,0,1,0,0,1,0,1,0,0,1,.75,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1
"471378",73,11,148,131,471,0,1,0,0,0,1,0,.6060606,460.5963,675.3511,83.70834,.8182609,.8203086,11,5.25,1,0,0,0,1,0,0,1,0,12,144,8.18412,44,1936,1,1,1,0,0,1,0,1,1,0,0,1,0,1,0,0,0,1,.3333333,0,0,0,1,0,0,0,1,0,1,1,1,0,1,0
"471672",73,11,148,131,471,0,1,0,0,0,1,0,.5909091,458.1464,651.0246,56.88,.8758475,.665436,11,18,1,0,1,1,1,1,0,1,0,10,100,7.037313,51,2601,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,.25,0,0,1,1,1,1,1,1,0,0,0,1,1,1,0
"471791",73,11,148,131,471,0,1,0,0,0,1,1,.0909091,547.0595,547.0595,47.75,.9127151,.7434555,6,40,1,0,0,0,1,0,0,1,0,1,1,1,65,4225,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"471880",73,11,148,131,471,0,1,0,0,0,1,0,.5757576,282.5225,403.5121,31.22222,.8894877,.5925267,11,11.55556,1,1,0,0,1,0,0,1,0,9,81,6.301428,64,4096,1,1,1,1,0,0,0,1,1,0,0,3,0,0,0,0,0,1,.8,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
"471909",73,11,148,131,471,0,1,0,0,0,1,0,.5606061,383.731,500.4446,53.6,.8603188,.6287314,9,16.8,1,1,1,1,1,0,1,1,0,5,25,3.8339,50,2500,1,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,.6666667,0,0,0,1,0,1,1,1,0,1,0,1,0,0,0
"472122",73,11,148,120,472,1,0,0,0,0,0,0,,377.5155,498.4477,51.3,.8641115,.6959065,11,18.2,1,1,0,1,0,0,1,1,0,5,25,3.786912,33,1089,1,1,1,0,1,0,0,1,0,0,1,1,0,1,0,0,0,1,1.5,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1
"472148",73,11,148,120,472,1,0,0,0,0,0,0,,295.3214,390.2561,27,.9085742,.537037,8,9,1,1,0,1,1,0,0,1,0,6,36,4.540425,39,1521,1,1,1,0,0,1,0,1,0,0,1,0,1,1,0,0,0,1,.5,0,0,1,1,0,0,1,1,1,1,0,1,0,0,0
"472425",73,11,148,120,472,1,0,0,0,0,0,0,,391.9167,462.1276,28,.9285563,.7083333,8,28,1,0,0,1,1,0,0,1,0,3,9,2.544211,53,2809,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1
"472599",73,11,148,120,472,1,0,0,0,0,0,0,,654.1627,771.3544,81.75,.8750311,.7920489,10,23.33333,1,0,0,1,0,0,0,1,1,3,9,2.544211,60,3600,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
